sample-id	day	type_of_dna_sample	offspring_id	sow_id	pen	treatment	experiment	qubit_ng_ul	date_of_extraction
1	48_hrs	piglet rectal swab	182	NA	604	2	813	1.07	2021-11-10T00:00:00Z
2	48_hrs	piglet rectal swab	74	NA	512	1	813	0.53200000000000003	2021-11-10T00:00:00Z
3	48_hrs	piglet rectal swab	268	NA	608	2	813	too low	2021-11-10T00:00:00Z
4	48_hrs	piglet rectal swab	230	NA	508	1	813	1.34	2021-11-10T00:00:00Z
5	d_7	piglet rectal swab	182	NA	604	2	813	3.98	2021-11-10T00:00:00Z
6	d_7	piglet rectal swab	74	NA	507	1	813	0.52800000000000002	2021-11-10T00:00:00Z
7	d_7	piglet rectal swab	268	NA	608	2	813	too low	2021-11-10T00:00:00Z
8	d_7	piglet rectal swab	230	NA	508	1	813	5.36	2021-11-10T00:00:00Z
9	48_hrs	piglet rectal swab	327	NA	501	1	813	10.7	2021-11-11T00:00:00Z
10	48_hrs	piglet rectal swab	290	NA	603	2	813	3.93	2021-11-11T00:00:00Z
11	48_hrs	piglet rectal swab	114	NA	606	2	813	0.70799999999999996	2021-11-11T00:00:00Z
12	48_hrs	piglet rectal swab	330	NA	501	1	813	2.68	2021-11-11T00:00:00Z
13	48_hrs	piglet rectal swab	252	NA	511	1	813	4.68	2021-11-11T00:00:00Z
14	48_hrs	piglet rectal swab	20	NA	609	2	813	0.80800000000000005	2021-11-11T00:00:00Z
15	48_hrs	piglet rectal swab	300	NA	507	1	813	1.8	2021-11-11T00:00:00Z
16	48_hrs	piglet rectal swab	50	NA	607	2	813	0.52	2021-11-11T00:00:00Z
17	48_hrs	piglet rectal swab	365	NA	504	1	813	0.504	2021-11-11T00:00:00Z
18	48_hrs	piglet rectal swab	208	NA	505	1	813	2.87	2021-11-11T00:00:00Z
19	48_hrs	piglet rectal swab	177	NA	604	2	813	too low	2021-11-11T00:00:00Z
20	48_hrs	piglet rectal swab	119	NA	513	1	813	too low	2021-11-11T00:00:00Z
21	48_hrs	piglet rectal swab	249	NA	511	1	813	0.42399999999999999	2021-11-11T00:00:00Z
22	48_hrs	piglet rectal swab	307	NA	612	2	813	1.47	2021-11-11T00:00:00Z
