taxon	term	p.value	method	fdr
g__Methanosphaera	treatment	0.2669077955978612	LMM	0.7188504236159158
g__Methanosphaera	day	2.1587446710608536e-13	LMM	3.6078578527287306e-12
g__Methanosphaera	treatment:day	0.8950350135400948	LMM	0.9990399453586847
f__[Methanomassiliicoccaceae]; g__vadinCA11	treatment	0.7340883132318569	LMM	0.8392056276910869
f__[Methanomassiliicoccaceae]; g__vadinCA11	day	0.3490687241537595	LMM	0.38179391704317445
f__[Methanomassiliicoccaceae]; g__vadinCA11	treatment:day	0.16828908504310056	LMM	0.7771129543927818
g__Corynebacterium	treatment	0.14129755691815396	LMM	0.7188504236159158
g__Corynebacterium	day	4.966293052435156e-12	LMM	3.476405136704609e-11
g__Corynebacterium	treatment:day	0.08840527114352072	LMM	0.7771129543927818
g__Bacteroides	treatment	0.24692870193331784	LMM	0.7188504236159158
g__Bacteroides	day	3.957470113676856e-8	LMM	1.7313931747336244e-7
g__Bacteroides	treatment:day	0.3844127566241703	LMM	0.8969630987897308
o__Bacteroidales; f__GZKB119; g__	treatment	0.5774895045349073	LMM	0.7432087592079412
o__Bacteroidales; f__GZKB119; g__	day	0.9619598345794397	LMM	0.9619598345794397
o__Bacteroidales; f__GZKB119; g__	treatment:day	0.26724537212314936	LMM	0.7771129543927818
g__Parabacteroides	treatment	0.6956745204088712	LMM	0.8392056276910869
g__Parabacteroides	day	1.4505428522768906e-5	LMM	4.230749985807597e-5
g__Parabacteroides	treatment:day	0.4378943435409004	LMM	0.9088520427818091
f__Prevotellaceae; g__	treatment	0.10468915246748843	LMM	0.7188504236159158
f__Prevotellaceae; g__	day	2.1654030197736605e-6	LMM	6.889918699279828e-6
f__Prevotellaceae; g__	treatment:day	0.26467207010625116	LMM	0.7771129543927818
g__Prevotella	treatment	0.29958954467921145	LMM	0.7188504236159158
g__Prevotella	day	1.7280292609053028e-12	LMM	1.5120256032921398e-11
g__Prevotella	treatment:day	0.5781393584839605	LMM	0.9635655974732675
o__Bacteroidales; f__RF16; g__	treatment	0.5669526869134893	LMM	0.7432087592079412
o__Bacteroidales; f__RF16; g__	day	8.081681527752377e-4	LMM	0.001346946921292063
o__Bacteroidales; f__RF16; g__	treatment:day	0.9494460973745646	LMM	0.9990399453586847
g__Paraprevotella	treatment	0.49380995996278976	LMM	0.7432087592079412
g__Paraprevotella	day	1.4449242771012182e-4	LMM	3.160771856158915e-4
g__Paraprevotella	treatment:day	0.13989209412126577	LMM	0.7771129543927818
f__Elusimicrobiaceae; g__	treatment	0.3724859091214653	LMM	0.7432087592079412
f__Elusimicrobiaceae; g__	day	0.7865350554173338	LMM	0.81799714524237
f__Elusimicrobiaceae; g__	treatment:day	0.7496364505778075	LMM	0.9990399453586847
f__Fibrobacteraceae; g__	treatment	0.08366889782597538	LMM	0.7188504236159158
f__Fibrobacteraceae; g__	day	0.06905131996762102	LMM	0.08055987329555787
f__Fibrobacteraceae; g__	treatment:day	0.6962932069034732	LMM	0.9990399453586847
f__Lactobacillaceae; g__	treatment	0.7614523452624983	LMM	0.8392056276910869
f__Lactobacillaceae; g__	day	3.928300673100508e-5	LMM	9.82075168275127e-5
f__Lactobacillaceae; g__	treatment:day	0.025158045103510253	LMM	0.7771129543927818
