taxon	term	p.value	method	fdr
g__Methanosphaera	treatment	0.9908251238850059	LMM	0.9908251238850059
g__Methanosphaera	day	0.0031122723392311806	LMM	0.01826486532122201
g__Methanosphaera	treatment:day	0.2598602596566429	LMM	0.8689425754453642
f__[Methanomassiliicoccaceae]; g__vadinCA11	treatment	0.47994395721202576	LMM	0.8638991229816464
f__[Methanomassiliicoccaceae]; g__vadinCA11	day	0.05410247940824884	LMM	0.10585267710309555
f__[Methanomassiliicoccaceae]; g__vadinCA11	treatment:day	0.4799164821829015	LMM	0.8689425754453642
g__Actinomyces	treatment	0.4103640833002583	LMM	0.8532682322502338
g__Actinomyces	day	0.003326148951934722	LMM	0.01826486532122201
g__Actinomyces	treatment:day	0.19296973946482426	LMM	0.8689425754453642
g__Arcanobacterium	treatment	0.5577008371772265	LMM	0.8844259844836536
g__Arcanobacterium	day	0.13834527021230617	LMM	0.19454803623605554
g__Arcanobacterium	treatment:day	0.5960190978346767	LMM	0.8689425754453642
g__Corynebacterium	treatment	0.6271246005780557	LMM	0.9103421621294358
g__Corynebacterium	day	0.09121901097537687	LMM	0.13778379737920854
g__Corynebacterium	treatment:day	0.627103647414379	LMM	0.8689425754453642
g__Bacteroides	treatment	0.10804309858751804	LMM	0.6945627766340445
g__Bacteroides	day	0.8023562385112283	LMM	0.8396751333257041
g__Bacteroides	treatment:day	0.6776508808971636	LMM	0.8689425754453642
o__Bacteroidales; f__GZKB119; g__	treatment	0.41923014868585684	LMM	0.8532682322502338
o__Bacteroidales; f__GZKB119; g__	day	0.05171118773985025	LMM	0.10577288401333006
o__Bacteroidales; f__GZKB119; g__	treatment:day	0.4192055599916106	LMM	0.8689425754453642
g__Parabacteroides	treatment	0.284251006318074	LMM	0.8532682322502338
g__Parabacteroides	day	0.06341493968925406	LMM	0.11445218751784846
g__Parabacteroides	treatment:day	0.5564024010330885	LMM	0.8689425754453642
f__Prevotellaceae; g__	treatment	0.3397516983809551	LMM	0.8532682322502338
f__Prevotellaceae; g__	day	0.004609155007781481	LMM	0.020741197535016666
f__Prevotellaceae; g__	treatment:day	0.42302038848637513	LMM	0.8689425754453642
g__Prevotella	treatment	0.08784895048080545	LMM	0.6945627766340445
g__Prevotella	day	0.036286408777147706	LMM	0.09071602194286926
g__Prevotella	treatment:day	0.4270751406204134	LMM	0.8689425754453642
o__Bacteroidales; f__RF16; g__	treatment	0.34101054467659275	LMM	0.8532682322502338
o__Bacteroidales; f__RF16; g__	day	0.007943713336264127	LMM	0.032497009102898704
o__Bacteroidales; f__RF16; g__	treatment:day	0.34098149439937275	LMM	0.8689425754453642
g__Butyricimonas	treatment	0.7701621364628514	LMM	0.9448612486114149
g__Butyricimonas	day	0.07284516549514278	LMM	0.12149536096530453
g__Butyricimonas	treatment:day	0.7701501110759926	LMM	0.8689425754453642
p__Cyanobacteria; c__4C0d-2; o__MLE1-12; f__; g__	treatment	0.37461017402981434	LMM	0.8532682322502338
p__Cyanobacteria; c__4C0d-2; o__MLE1-12; f__; g__	day	0.5994188583978866	LMM	0.6422344911405927
p__Cyanobacteria; c__4C0d-2; o__MLE1-12; f__; g__	treatment:day	0.7735906046390417	LMM	0.8689425754453642
f__Elusimicrobiaceae; g__	treatment	0.17626438576722198	LMM	0.8532682322502338
f__Elusimicrobiaceae; g__	day	0.02212768961062084	LMM	0.0629913246094373
f__Elusimicrobiaceae; g__	treatment:day	0.1762356175598365	LMM	0.8689425754453642
f__Fibrobacteraceae; g__	treatment	0.7955041446949608	LMM	0.9448612486114149
f__Fibrobacteraceae; g__	day	0.2912784310878957	LMM	0.3360904974091104
f__Fibrobacteraceae; g__	treatment:day	0.7829840949643436	LMM	0.8689425754453642
g__Bacillus	treatment	0.46748157915741584	LMM	0.8638991229816464
g__Bacillus	day	0.020739760003722862	LMM	0.0629913246094373
g__Bacillus	treatment:day	0.03443261683681627	LMM	0.7747338788283661
f__Lactobacillaceae; g__	treatment	0.9766034414092631	LMM	0.9908251238850059
f__Lactobacillaceae; g__	day	0.9488697975899212	LMM	0.9582790665908157
f__Lactobacillaceae; g__	treatment:day	0.05335239553403968	LMM	0.8002859330105951
g__Turicibacter	treatment	0.8202518426892508	LMM	0.9448612486114149
g__Turicibacter	day	0.06358454862102692	LMM	0.11445218751784846
g__Turicibacter	treatment:day	0.820241853477488	LMM	0.8788305572973085
f__Clostridiaceae; g__02d06	treatment	0.6981070626785919	LMM	0.9448612486114149
f__Clostridiaceae; g__02d06	day	0.028470282963397743	LMM	0.07536251372664109
f__Clostridiaceae; g__02d06	treatment:day	0.7917032354057763	LMM	0.8689425754453642
g__Caloramator	treatment	0.8182265350924787	LMM	0.9448612486114149
g__Caloramator	day	0.08688873092439903	LMM	0.13778379737920854
g__Caloramator	treatment:day	0.566755172611245	LMM	0.8689425754453642
g__Clostridium	treatment	0.2163086030952406	LMM	0.8532682322502338
g__Clostridium	day	0.36721299497641097	LMM	0.4030386530228901
g__Clostridium	treatment:day	0.5623482820414413	LMM	0.8689425754453642
f__Clostridiaceae; g__SMB53	treatment	0.26488235243275055	LMM	0.8532682322502338
f__Clostridiaceae; g__SMB53	day	0.07289721657918272	LMM	0.12149536096530453
f__Clostridiaceae; g__SMB53	treatment:day	0.8787573612234167	LMM	0.9196297966291571
g__Pseudoramibacter_Eubacterium	treatment	0.3205753527829	LMM	0.8532682322502338
g__Pseudoramibacter_Eubacterium	day	0.0013229097937250927	LMM	0.014882735179407294
g__Pseudoramibacter_Eubacterium	treatment:day	0.36907255890984186	LMM	0.8689425754453642
g__Dorea	treatment	0.9582790669983877	LMM	0.9908251238850059
g__Dorea	day	0.9582790665908157	LMM	0.9582790665908157
g__Dorea	treatment:day	0.1891781878023635	LMM	0.8689425754453642
g__Epulopiscium	treatment	0.43611487426123063	LMM	0.8532682322502338
g__Epulopiscium	day	0.022396915416688815	LMM	0.0629913246094373
g__Epulopiscium	treatment:day	0.740052167619492	LMM	0.8689425754453642
g__Lachnospira	treatment	0.054269863855118033	LMM	0.6945627766340445
g__Lachnospira	day	0.003647454275827383	LMM	0.01826486532122201
g__Lachnospira	treatment:day	0.6973970292381275	LMM	0.8689425754453642
g__Peptococcus	treatment	0.9575016144300423	LMM	0.9908251238850059
g__Peptococcus	day	0.18926716263695942	LMM	0.23958847834320518
g__Peptococcus	treatment:day	0.9575016130118852	LMM	0.9575016130118852
g__Faecalibacterium	treatment	0.7458037783438085	LMM	0.9448612486114149
g__Faecalibacterium	day	0.19167078267456414	LMM	0.23958847834320518
g__Faecalibacterium	treatment:day	0.21201123290586757	LMM	0.8689425754453642
g__Ruminococcus	treatment	0.6902879905413235	LMM	0.9448612486114149
g__Ruminococcus	day	0.09972747459827738	LMM	0.1447656889329833
g__Ruminococcus	treatment:day	0.6902779974247834	LMM	0.8689425754453642
g__Acidaminococcus	treatment	0.3005058261964462	LMM	0.8532682322502338
g__Acidaminococcus	day	0.003652973064244402	LMM	0.01826486532122201
g__Acidaminococcus	treatment:day	0.30048314801686327	LMM	0.8689425754453642
f__[Acidaminobacteraceae]; g__	treatment	0.5860890690050019	LMM	0.8844259844836536
f__[Acidaminobacteraceae]; g__	day	0.0022740470718739534	LMM	0.01826486532122201
f__[Acidaminobacteraceae]; g__	treatment:day	0.5860764079539631	LMM	0.8689425754453642
g__Anaerococcus	treatment	0.8398766654323687	LMM	0.9448612486114149
g__Anaerococcus	day	0.0398085991556732	LMM	0.0942835243160681
g__Anaerococcus	treatment:day	0.6876415650543108	LMM	0.8689425754453642
g__Bulleidia	treatment	0.811998619920914	LMM	0.9448612486114149
g__Bulleidia	day	0.05139884745001274	LMM	0.10577288401333006
g__Bulleidia	treatment:day	0.6527082646761572	LMM	0.8689425754453642
g__Catenibacterium	treatment	0.3684505742098142	LMM	0.8532682322502338
g__Catenibacterium	day	0.09185586491947235	LMM	0.13778379737920854
g__Catenibacterium	treatment:day	0.3684197639074446	LMM	0.8689425754453642
