taxon	term	p.value	method	fdr
g__Methanosphaera	treatment	0.7671348219818178	LMM	0.9515316110222382
g__Methanosphaera	day	0.08653692187843473	LMM	0.25295407933696307
g__Methanosphaera	treatment:day	0.16664246060267102	LMM	0.4553145658252229
f__[Methanomassiliicoccaceae]; g__vadinCA11	treatment	0.26388789473632535	LMM	0.5931767965745339
f__[Methanomassiliicoccaceae]; g__vadinCA11	day	0.050996432580296173	LMM	0.21140664193166384
f__[Methanomassiliicoccaceae]; g__vadinCA11	treatment:day	0.918597940631982	LMM	0.9662101012929005
g__Bacteroides	treatment	0.01499732416086896	LMM	0.14247457952825512
g__Bacteroides	day	0.23817495532311558	LMM	0.4524207305262404
g__Bacteroides	treatment:day	0.007622136785501614	LMM	0.14482059892453067
o__Bacteroidales; f__GZKB119; g__	treatment	0.9982083316411803	LMM	0.9982083316411803
o__Bacteroidales; f__GZKB119; g__	day	0.02250277358107899	LMM	0.2054753957765204
o__Bacteroidales; f__GZKB119; g__	treatment:day	0.9060942456272131	LMM	0.9662101012929005
g__Parabacteroides	treatment	0.39809110027182315	LMM	0.6876119004695127
g__Parabacteroides	day	1.2160404462647958e-4	LMM	0.002310476847903112
g__Parabacteroides	treatment:day	0.08690727913453504	LMM	0.3669418452347035
f__Prevotellaceae; g__	treatment	0.011656559051301833	LMM	0.14247457952825512
f__Prevotellaceae; g__	day	0.061196659506534266	LMM	0.21140664193166384
f__Prevotellaceae; g__	treatment:day	0.9407835196799295	LMM	0.9662101012929005
g__Prevotella	treatment	0.13364607690645539	LMM	0.5078550922445304
g__Prevotella	day	0.21273173890195	LMM	0.4254634778039
g__Prevotella	treatment:day	0.030220648981275494	LMM	0.24916195226088236
o__Bacteroidales; f__RF16; g__	treatment	0.29658839828726696	LMM	0.5931767965745339
o__Bacteroidales; f__RF16; g__	day	0.07496248688646288	LMM	0.23738120847379912
o__Bacteroidales; f__RF16; g__	treatment:day	0.037022969443628095	LMM	0.24916195226088236
g__Butyricimonas	treatment	0.8296598590291417	LMM	0.9553658982759815
g__Butyricimonas	day	0.2667714726734763	LMM	0.4524207305262404
g__Butyricimonas	treatment:day	0.9361781267853253	LMM	0.9662101012929005
g__Paraprevotella	treatment	0.13090563716566955	LMM	0.5078550922445304
g__Paraprevotella	day	0.9918265126368091	LMM	0.9918265126368091
g__Paraprevotella	treatment:day	0.9918265126368114	LMM	0.9918265126368114
f__Elusimicrobiaceae; g__	treatment	0.7201447312470515	LMM	0.9436379237030329
f__Elusimicrobiaceae; g__	day	0.273833600055356	LMM	0.4524207305262404
f__Elusimicrobiaceae; g__	treatment:day	0.007052522760768887	LMM	0.14482059892453067
f__Fibrobacteraceae; g__	treatment	0.978486944247341	LMM	0.9982083316411803
f__Fibrobacteraceae; g__	day	0.6312037968509192	LMM	0.7855314191098636
f__Fibrobacteraceae; g__	treatment:day	0.7070028957267649	LMM	0.9337882254929184
g__Bacillus	treatment	0.5713194500960451	LMM	0.8040792260611006
g__Bacillus	day	0.43205411673232985	LMM	0.6080761642899457
g__Bacillus	treatment:day	0.2761867710521827	LMM	0.5830609611101635
f__Lactobacillaceae; g__	treatment	0.18365497608299466	LMM	0.5281574904597756
f__Lactobacillaceae; g__	day	0.3294390384601379	LMM	0.5007473384594096
f__Lactobacillaceae; g__	treatment:day	0.854628817719628	LMM	0.9662101012929005
g__Lactobacillus	treatment	0.42731857140802565	LMM	0.7060045962393467
g__Lactobacillus	day	0.04221242539292253	LMM	0.21140664193166384
g__Lactobacillus	treatment:day	0.16774747161981896	LMM	0.4553145658252229
g__Turicibacter	treatment	0.028028139207466187	LMM	0.17751154831395252
g__Turicibacter	day	0.6408282629580466	LMM	0.7855314191098636
g__Turicibacter	treatment:day	0.4321699897991458	LMM	0.7605824494601015
f__Clostridiaceae; g__02d06	treatment	0.1723725289596968	LMM	0.5281574904597756
f__Clostridiaceae; g__02d06	day	6.996002441055465e-5	LMM	0.002310476847903112
f__Clostridiaceae; g__02d06	treatment:day	0.7126278562972272	LMM	0.9337882254929184
g__Caloramator	treatment	0.12443433562267694	LMM	0.5078550922445304
g__Caloramator	day	0.46903836421594947	LMM	0.6146019944898647
g__Caloramator	treatment:day	0.501255817198397	LMM	0.7936550438974618
g__Clostridium	treatment	0.19458433859044363	LMM	0.5281574904597756
g__Clostridium	day	0.002539951629552428	LMM	0.03217272064099742
g__Clostridium	treatment:day	0.19712984074718426	LMM	0.4646199112029729
f__Clostridiaceae; g__SMB53	treatment	0.027007648760600977	LMM	0.17751154831395252
f__Clostridiaceae; g__SMB53	day	0.10981393505511818	LMM	0.2697200991001907
f__Clostridiaceae; g__SMB53	treatment:day	0.43187066458579737	LMM	0.7605824494601015
g__Pseudoramibacter_Eubacterium	treatment	0.5116490648288148	LMM	0.7855806093956457
g__Pseudoramibacter_Eubacterium	day	0.29141491327335284	LMM	0.46140694601614196
g__Pseudoramibacter_Eubacterium	treatment:day	0.016217115158393962	LMM	0.2054167920063235
g__Epulopiscium	treatment	0.2842807757353829	LMM	0.5931767965745339
g__Epulopiscium	day	0.9504133036903408	LMM	0.9761001497360257
g__Epulopiscium	treatment:day	0.4185881734694037	LMM	0.7605824494601015
g__Lachnospira	treatment	0.8855404295615968	LMM	0.9862237543629168
g__Lachnospira	day	0.17421178770206025	LMM	0.3791003157673201
g__Lachnospira	treatment:day	0.04589825436384675	LMM	0.24916195226088236
g__Faecalibacterium	treatment	0.1578240226937564	LMM	0.5281574904597756
g__Faecalibacterium	day	0.11356635751586977	LMM	0.2697200991001907
g__Faecalibacterium	treatment:day	0.5970808173390809	LMM	0.864814907896033
g__Ruminococcus	treatment	0.8012897777029374	LMM	0.9515316110222382
g__Ruminococcus	day	0.7295991751590077	LMM	0.8401445047285544
g__Ruminococcus	treatment:day	0.05623313214556543	LMM	0.26710737769143583
g__Acidaminococcus	treatment	0.5195353318185951	LMM	0.7855806093956457
g__Acidaminococcus	day	0.8772696046546521	LMM	0.9524641421964793
g__Acidaminococcus	treatment:day	0.20785627606448787	LMM	0.4646199112029729
f__[Acidaminobacteraceae]; g__	treatment	0.9872938317184463	LMM	0.9982083316411803
f__[Acidaminobacteraceae]; g__	day	0.46895405764215914	LMM	0.6146019944898647
f__[Acidaminobacteraceae]; g__	treatment:day	0.9028666164362298	LMM	0.9662101012929005
g__Bulleidia	treatment	0.24736995642404164	LMM	0.5931767965745339
g__Bulleidia	day	0.036304832573689924	LMM	0.21140664193166384
g__Bulleidia	treatment:day	0.18430935503016393	LMM	0.4646199112029729
g__Catenibacterium	treatment	0.9083639842816339	LMM	0.9862237543629168
g__Catenibacterium	day	0.10036581200528616	LMM	0.2697200991001907
g__Catenibacterium	treatment:day	0.5293523373341082	LMM	0.8046155527478446
f__Erysipelotrichaceae; g__p-75-a5	treatment	0.5375025222180734	LMM	0.7855806093956457
f__Erysipelotrichaceae; g__p-75-a5	day	0.7218821300795517	LMM	0.8401445047285544
f__Erysipelotrichaceae; g__p-75-a5	treatment:day	0.440337207582164	LMM	0.7605824494601015
g__Cetobacterium	treatment	0.28248966533092135	LMM	0.5931767965745339
g__Cetobacterium	day	0.17957383378452005	LMM	0.3791003157673201
g__Cetobacterium	treatment:day	0.7621398907779472	LMM	0.9461843879957758
c__Alphaproteobacteria; o__RF32; f__; g__	treatment	0.5976308973211246	LMM	0.8110705035072406
c__Alphaproteobacteria; o__RF32; f__; g__	day	0.8021810946129563	LMM	0.8965553410380099
c__Alphaproteobacteria; o__RF32; f__; g__	treatment:day	0.14822346940312392	LMM	0.4553145658252229
g__Campylobacter	treatment	0.39084675787894274	LMM	0.6876119004695127
g__Campylobacter	day	0.3922642346490246	LMM	0.5733092660254975
g__Campylobacter	treatment:day	0.6144737503471813	LMM	0.864814907896033
g__Escherichia	treatment	0.3351734562825448	LMM	0.6368295669368351
g__Escherichia	day	0.944038993273143	LMM	0.9761001497360257
g__Escherichia	treatment:day	0.48904414963619625	LMM	0.7936550438974618
f__Synergistaceae; g__vadinCA02	treatment	0.008768677335731759	LMM	0.14247457952825512
f__Synergistaceae; g__vadinCA02	day	0.027036236286384265	LMM	0.2054753957765204
f__Synergistaceae; g__vadinCA02	treatment:day	0.0427262850685927	LMM	0.24916195226088236
k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__F16; g__	treatment	3.215254952880201e-5	LMM	0.0012217968820944765
k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__F16; g__	day	0.06083350638541311	LMM	0.21140664193166384
k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__F16; g__	treatment:day	0.09814717655649248	LMM	0.3729592709146714
f__Puniceicoccaceae; g__	treatment	0.7875822167394407	LMM	0.9515316110222382
f__Puniceicoccaceae; g__	day	0.04559707980574515	LMM	0.21140664193166384
f__Puniceicoccaceae; g__	treatment:day	0.7718872638912907	LMM	0.9461843879957758
g__Akkermansia	treatment	0.09676915150159768	LMM	0.5078550922445304
g__Akkermansia	day	0.25269160279955644	LMM	0.4524207305262404
g__Akkermansia	treatment:day	0.1538149172796769	LMM	0.4553145658252229
